Card,Avg Location
2H,27.0
2D,27.177
2C,26.972
2S,27.163
3H,27.605
3D,26.621
3C,27.297
3S,26.705
4H,27.745
4D,26.191
4C,26.491
4S,25.537
5H,26.069
5D,26.206
5C,26.452
5S,26.695
6H,26.328
6D,26.829
6C,26.657
6S,25.696
7H,26.333
7D,25.394
7C,25.789
7S,26.897
8H,26.294
8D,27.027
8C,26.479
8S,26.303
9H,26.754
9D,25.354
9C,26.907
9S,26.397
TH,26.838
TD,26.445
TC,25.81
TS,26.569
JH,26.425
JD,26.537
JC,26.295
JS,26.054
QH,26.795
QD,26.591
QC,25.931
QS,26.644
KH,27.156
KD,26.632
KC,25.657
KS,26.334
AH,25.948
AD,27.065
AC,26.27
AS,26.64
